county,mortality_rate,overdose_deaths,sum
ANDERSON,45.01045831237258,34.0,34882.0
BEDFORD,6.402868485081316,3.0,8289.0
BENTON,30.9520861706079,5.0,10717.0
BLEDSOE,13.876361617983765,2.0,3306.0
BLOUNT,22.81039839540646,29.0,27352.0
BRADLEY,13.504909999421217,14.0,48244.0
CAMPBELL,12.555243069505826,5.0,18687.0
CANNON,21.677866897897246,3.0,2758.0
CARROLL,7.108078331023208,2.0,19512.0
CARTER,28.31858407079646,16.0,11230.0
CHEATHAM,60.433611160073525,24.0,9250.0
CHESTER,5.848979353102884,1.0,9648.0
CLAIBORNE,6.335931065070012,2.0,21243.0
CLAY,26.028110359187924,2.0,6483.0
COCKE,17.015484090522374,6.0,12161.0
COFFEE,22.191811221659208,12.0,43957.0
CROCKETT,0.0,0.0,2672.0
CUMBERLAND,15.469765203341469,9.0,24193.0
DAVIDSON,27.125760332113657,184.0,284885.0
DE KALB,36.119711042311664,7.0,8022.0
DECATUR,0.0,0.0,2188.0
DICKSON,11.686566292047292,6.0,21995.0
DYER,2.648936452014516,1.0,20399.0
FAYETTE,7.62660158633313,3.0,8567.0
FENTRESS,5.574136008918618,1.0,12819.0
FRANKLIN,7.246901949416625,3.0,13808.0
GIBSON,12.189671285197676,6.0,16359.0
GILES,17.227122381477397,5.0,7186.0
GRAINGER,4.358817888588614,1.0,3675.0
GREENE,24.810274372446003,17.0,31535.0
GRUNDY,7.485590238790329,1.0,6343.0
HAMBLEN,14.181044670290712,9.0,45241.0
HAMILTON,16.920998677341938,60.0,199917.0
HANCOCK,45.42013626040878,3.0,878.0
HARDEMAN,15.513496742165684,4.0,7597.0
HARDIN,7.748033936388642,2.0,11393.0
HAWKINS,8.864933867593347,5.0,15030.0
HAYWOOD,0.0,0.0,4568.0
HENDERSON,17.92821542543655,5.0,4898.0
HENRY,6.199051545113598,2.0,21914.0
HICKMAN,12.243898457268795,3.0,4759.0
HOUSTON,12.212994626282365,1.0,1813.0
HUMPHREYS,21.880641102784313,4.0,3295.0
JACKSON,17.281603732826408,2.0,1042.0
JEFFERSON,13.235766823605045,7.0,26452.0
JOHNSON,5.603496581867085,1.0,6281.0
KNOX,43.335411664300906,196.0,242440.0
LAKE,0.0,0.0,220.0
LAUDERDALE,7.548024304638261,2.0,6170.0
LAWRENCE,16.43539714963255,7.0,17380.0
LEWIS,16.744809109176156,2.0,3076.0
LINCOLN,11.924991801568137,4.0,5916.0
LOUDON,35.277516462841014,18.0,11144.0
MACON,8.606222298721976,2.0,3245.0
MADISON,12.259033375218364,12.0,68021.0
MARION,7.053429730206313,2.0,7621.0
MARSHALL,18.89585236040689,6.0,7583.0
MAURY,13.697691938908294,12.0,46952.0
MC MINN,11.413570735604633,6.0,23085.0
MC NAIRY,11.562921564848718,3.0,12983.0
MEIGS,16.9061707523246,2.0,1275.0
MONROE,10.941397872992253,5.0,18343.0
MONTGOMERY,11.45117634811576,22.0,45243.0
MOORE,15.867978419549349,1.0,708.0
MORGAN,13.863856924996535,3.0,6112.0
OBION,0.0,0.0,19762.0
OVERTON,22.732439190725163,5.0,6835.0
PERRY,12.687135244861711,1.0,2683.0
PICKETT,19.719976336028395,1.0,1906.0
POLK,11.96029183112068,2.0,3084.0
PUTNAM,13.233639912657976,10.0,48673.0
RHEA,12.316029312149762,4.0,14809.0
ROANE,30.230888410233156,16.0,24602.0
ROBERTSON,21.873860736419978,15.0,19189.0
RUTHERFORD,16.08277267000831,48.0,65261.0
SCOTT,9.112032438835483,2.0,26118.0
SEQUATCHIE,20.472226013375188,3.0,1328.0
SEVIER,25.124839043999874,24.0,23307.0
SHELBY,16.953724861304668,159.0,233758.0
SMITH,10.373982053011048,2.0,7844.0
STEWART,0.0,0.0,1403.0
SULLIVAN,18.52810201956312,29.0,117878.0
SUMNER,15.933534399362658,28.0,70453.0
TIPTON,19.53315753491552,12.0,13714.0
TROUSDALE,22.797218739313802,2.0,3335.0
UNICOI,39.25967470555244,7.0,5937.0
UNION,20.859407592824365,4.0,3334.0
VAN BUREN,0.0,0.0,1285.0
WARREN,2.486943546381497,1.0,15285.0
WASHINGTON,18.981785395097955,24.0,101935.0
WAYNE,0.0,0.0,6615.0
WEAKLEY,2.9606821411653246,1.0,14260.0
WHITE,0.0,0.0,5439.0
WILLIAMSON,11.312163875547343,24.0,41296.0
WILSON,20.17474432391328,26.0,37417.0
